analysis,seed,sigma,method,status,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
noise,7,0.1,cart,SAT,0.7911111111111111,0.12658227848101267,0.8028169014084507,0.15767266266933155,0.06557377049180328,0.53125,0.4656762295081967,False
noise,7,0.1,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,7,0.1,cert_tree,SAT,0.6666666666666666,0.5147679324894515,0.6901408450704225,0.7458882287092053,0.41530054644808745,0.5,0.08469945355191255,False
noise,7,0.2,cart,SAT,0.7977777777777778,0.12658227848101267,0.7981220657276995,0.15860014892032764,0.060109289617486336,0.515625,0.45551571038251365,False
noise,7,0.2,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,7,0.2,cert_tree,SAT,0.6822222222222222,0.5316455696202531,0.6854460093896714,0.7756199063637939,0.4262295081967213,0.4375,0.011270491803278715,False
noise,7,0.3,cart,SAT,0.7888888888888889,0.11814345991561181,0.7887323943661971,0.14978902953586498,0.06557377049180328,0.5,0.4344262295081967,False
noise,7,0.3,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,7,0.3,cert_tree,SAT,0.6888888888888889,0.4936708860759494,0.6666666666666666,0.7405063291139241,0.3770491803278688,0.453125,0.07607581967213117,False
noise,7,0.4,cart,SAT,0.7955555555555556,0.1308016877637131,0.7605633802816901,0.17197999687451165,0.0546448087431694,0.484375,0.4297301912568306,False
noise,7,0.4,cart_group_threshold,SAT,0.5488888888888889,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,7,0.4,cert_tree,SAT,0.6666666666666666,0.510548523206751,0.6572769953051644,0.7767631103074141,0.41530054644808745,0.4375,0.02219945355191255,False
noise,8,0.0,cart,SAT,0.8066666666666666,0.14601769911504425,0.8571428571428571,0.17035398230088497,0.05325443786982249,0.589041095890411,0.5357866580205884,False
noise,8,0.0,cart_group_threshold,SAT,0.5377777777777778,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,8,0.0,cert_tree,SAT,0.6644444444444444,0.38495575221238937,0.5089285714285714,0.7564042850489054,0.27218934911242604,0.3561643835616438,0.08397503444921778,False
noise,8,0.05,cart,SAT,0.8066666666666666,0.1504424778761062,0.8526785714285714,0.17643515729972667,0.05917159763313609,0.5753424657534246,0.5161708681202886,False
noise,8,0.05,cart_group_threshold,SAT,0.5377777777777778,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,8,0.05,cert_tree,SAT,0.6577777777777778,0.38495575221238937,0.5044642857142857,0.7630981282794267,0.27218934911242604,0.3698630136986301,0.09767366458620408,False
noise,8,0.1,cart,SAT,0.8,0.15486725663716813,0.8258928571428571,0.1875149485768955,0.0650887573964497,0.547945205479452,0.4828564480830023,False
noise,8,0.1,cart_group_threshold,SAT,0.5377777777777778,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,8,0.1,cert_tree,SAT,0.6644444444444444,0.37610619469026546,0.5,0.7522123893805309,0.26627218934911245,0.3424657534246575,0.07619356407554506,False
noise,8,0.2,cart,SAT,0.8088888888888889,0.13274336283185842,0.8214285714285714,0.16160061562139286,0.05325443786982249,0.5068493150684932,0.4535948771986707,False
noise,8,0.2,cart_group_threshold,SAT,0.5377777777777778,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,8,0.2,cert_tree,SAT,0.6666666666666666,0.37168141592920356,0.5089285714285714,0.7303213786679088,0.27218934911242604,0.3287671232876712,0.05657777417524518,False
noise,8,0.3,cart,SAT,0.7977777777777778,0.18141592920353983,0.8035714285714286,0.22576204523107177,0.08875739644970414,0.5068493150684932,0.418091918618789,False
noise,8,0.3,cart_group_threshold,SAT,0.5377777777777778,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,8,0.3,cert_tree,SAT,0.6355555555555555,0.40707964601769914,0.48214285714285715,0.8443133398885612,0.3076923076923077,0.3561643835616438,0.048472075869336106,True
noise,8,0.4,cart,SAT,0.7911111111111111,0.20353982300884957,0.8214285714285714,0.24778761061946905,0.11834319526627218,0.5205479452054794,0.40220474993920724,False
noise,8,0.4,cart_group_threshold,SAT,0.5377777777777778,0.0,0.0,1.0,0.0,0.0,0.0,True
noise,8,0.4,cert_tree,SAT,0.6311111111111111,0.3893805309734513,0.49107142857142855,0.7929203539823009,0.3136094674556213,0.3424657534246575,0.02885628596903622,False
