analysis,dataset,seed,method,status,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
stability,breast_cancer_proxy,15,cert_tree,SAT,0.695906432748538,0.6363636363636364,0.5180722891566265,0.8141135972461274,0.6,0.3220338983050847,0.27796610169491526,False
stability,stability_synth,16,cart,SAT,0.7976190476190477,0.11711711711711711,0.8232323232323232,0.14226496435085392,0.04142011834319527,0.5789473684210527,0.5375272500778574,False
stability,stability_synth,16,cart_group_threshold,SAT,0.5380952380952381,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,16,cert_tree,SAT,0.6571428571428571,0.45045045045045046,0.5252525252525253,0.8575883575883575,0.35502958579881655,0.2982456140350877,0.05678397176372885,False
stability,breast_cancer_proxy,16,cart,SAT,0.9239766081871345,0.9662921348314607,0.3170731707317073,0.32813386273397616,0.6,0.1016949152542373,0.4983050847457627,False
stability,breast_cancer_proxy,16,cart_group_threshold,NEAR-SAT,0.9181286549707602,0.9662921348314607,0.32926829268292684,0.34075439591605217,0.6,0.11864406779661017,0.4813559322033898,False
stability,breast_cancer_proxy,16,cert_tree,SAT,0.7309941520467836,0.7191011235955056,0.5,0.6953125,0.8,0.3050847457627119,0.49491525423728816,False
stability,stability_synth,17,cart,SAT,0.7619047619047619,0.07035175879396985,0.6380090497737556,0.110267650308279,0.013605442176870748,0.3625,0.3488945578231292,False
stability,stability_synth,17,cart_group_threshold,SAT,0.5404761904761904,0.0,0.0,1.0,0.0,0.0,0.0,True
stability,stability_synth,17,cert_tree,SAT,0.6833333333333333,0.40703517587939697,0.5294117647058824,0.7688442211055276,0.3469387755102041,0.225,0.12193877551020407,False
stability,breast_cancer_proxy,17,cart,SAT,0.9532163742690059,0.9647058823529412,0.26744186046511625,0.2772263187748156,0.25,0.03333333333333333,0.21666666666666667,False
stability,breast_cancer_proxy,17,cart_group_threshold,NEAR-SAT,0.9181286549707602,0.9411764705882353,0.3372093023255814,0.3582848837209302,0.25,0.11666666666666667,0.13333333333333333,False
stability,breast_cancer_proxy,17,cert_tree,SAT,0.695906432748538,1.0,0.8604651162790697,0.8604651162790697,1.0,0.8,0.19999999999999996,False
