dataset,source,seed,method,status,runtime_sec,checked,num_splits,min_accuracy_target,accuracy,selection_rate_g0,selection_rate_g1,di,fpr_g0,fpr_g1,fpr_gap,fair
breast_cancer_proxy,real_proxy,3,cart,SAT,0.0017482999828644097,0,0.0,,0.8947368421052632,0.9156626506024096,0.3522727272727273,0.38471889952153115,0.4,0.11864406779661017,0.28135593220338984,False
breast_cancer_proxy,real_proxy,3,cart_group_threshold,SAT,0.010122000006958842,361,,,0.6257309941520468,1.0,1.0,1.0,1.0,1.0,0.0,True
breast_cancer_proxy,real_proxy,3,cert_tree,UNSAT,2.0525335000129417,93312,18.0,0.857286432160804,,,,,,,,False
wine_proxy,real_proxy,3,cart,SAT,0.00046629999997094274,0,0.0,,0.8703703703703703,0.9642857142857143,0.5384615384615384,0.5584045584045584,1.0,0.29411764705882354,0.7058823529411764,False
wine_proxy,real_proxy,3,cart_group_threshold,NEAR-SAT,0.008026600000448525,361,,,0.8703703703703703,0.9642857142857143,0.5384615384615384,0.5584045584045584,1.0,0.29411764705882354,0.7058823529411764,False
wine_proxy,real_proxy,3,cert_tree,UNSAT,1.5453600999899209,78608,17.0,0.867741935483871,,,,,,,,False
diabetes_proxy,real_proxy,3,cart,SAT,0.0005722000205423683,0,0.0,,0.6917293233082706,0.4411764705882353,0.6307692307692307,0.6994261119081779,0.20588235294117646,0.48484848484848486,0.2789661319073084,False
diabetes_proxy,real_proxy,3,cart_group_threshold,SAT,0.00851479999255389,361,,,0.6917293233082706,0.4411764705882353,0.6307692307692307,0.6994261119081779,0.20588235294117646,0.48484848484848486,0.2789661319073084,False
diabetes_proxy,real_proxy,3,cert_tree,SAT,2.014066500007175,93312,18.0,0.6734627831715211,0.6917293233082706,0.4117647058823529,0.5692307692307692,0.7233704292527822,0.17647058823529413,0.42424242424242425,0.24777183600713013,False
synthetic_mild,synthetic,4,cart,SAT,0.0016168000001925975,0,0.0,,0.7520833333333333,0.37656903765690375,0.7510373443983402,0.5013985529022862,0.2088607594936709,0.5098039215686274,0.3009431620749565,False
synthetic_mild,synthetic,4,cart_group_threshold,SAT,0.012944600021000952,361,,,0.5416666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_mild,synthetic,4,cert_tree,SAT,2.2596008999971673,78608,17.0,0.6723214285714286,0.6770833333333334,0.2719665271966527,0.3236514522821577,0.8403068340306833,0.16455696202531644,0.12745098039215685,0.03710598163315959,True
synthetic_medium,synthetic,4,cart,SAT,0.0015656999894417822,0,0.0,,0.79375,0.13191489361702127,0.6938775510204082,0.19011264080100124,0.023391812865497075,0.4105263157894737,0.3871345029239766,False
synthetic_medium,synthetic,4,cart_group_threshold,SAT,0.013105799996992573,361,,,0.5541666666666667,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_medium,synthetic,4,cert_tree,UNSAT,2.282481200003531,78608,17.0,0.7116071428571429,,,,,,,,False
synthetic_extreme,synthetic,4,cart,SAT,0.0016108000127132982,0,0.0,,0.8333333333333334,0.15086206896551724,0.907258064516129,0.16628352490421455,0.06735751295336788,0.6956521739130435,0.6282946609596756,False
synthetic_extreme,synthetic,4,cart_group_threshold,SAT,0.013084799982607365,361,,,0.5458333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_extreme,synthetic,4,cert_tree,UNSAT,2.2214989999774843,78608,17.0,0.7992857142857144,,,,,,,,False
breast_cancer_proxy,real_proxy,4,cart,SAT,0.0017482000112067908,0,0.0,,0.9298245614035088,0.9555555555555556,0.35802469135802467,0.3746770025839793,0.42857142857142855,0.12280701754385964,0.3057644110275689,False
breast_cancer_proxy,real_proxy,4,cart_group_threshold,NEAR-SAT,0.010423800005810335,361,,,0.9298245614035088,0.9555555555555556,0.35802469135802467,0.3746770025839793,0.42857142857142855,0.12280701754385964,0.3057644110275689,False
breast_cancer_proxy,real_proxy,4,cert_tree,UNSAT,2.0247180000005756,93312,18.0,0.849748743718593,,,,,,,,False
wine_proxy,real_proxy,4,cart,SAT,0.0004896000027656555,0,0.0,,0.9259259259259259,0.8076923076923077,0.4642857142857143,0.5748299319727891,0.0,0.0625,0.0625,False
wine_proxy,real_proxy,4,cart_group_threshold,NEAR-SAT,0.00843329998315312,361,,,0.9259259259259259,0.8076923076923077,0.4642857142857143,0.5748299319727891,0.0,0.0625,0.0625,False
wine_proxy,real_proxy,4,cert_tree,UNSAT,1.5698357000073884,78608,17.0,0.8838709677419355,,,,,,,,False
diabetes_proxy,real_proxy,4,cart,SAT,0.0005684999923687428,0,0.0,,0.7443609022556391,0.4794520547945205,0.55,0.87173100871731,0.2702702702702703,0.26666666666666666,0.0036036036036036223,True
diabetes_proxy,real_proxy,4,cart_group_threshold,SAT,0.008625200018286705,361,,,0.7293233082706767,0.4794520547945205,0.48333333333333334,0.9919697685403873,0.2702702702702703,0.23333333333333334,0.03693693693693695,True
diabetes_proxy,real_proxy,4,cert_tree,SAT,1.982097000000067,93312,18.0,0.6605177993527508,0.706766917293233,0.3835616438356164,0.48333333333333334,0.7935758148323098,0.24324324324324326,0.2,0.043243243243243246,False
synthetic_mild,synthetic,5,cart,SAT,0.0016192999901250005,0,0.0,,0.75625,0.22072072072072071,0.6356589147286822,0.34723137771918255,0.08974358974358974,0.39622641509433965,0.3064828253507499,False
synthetic_mild,synthetic,5,cart_group_threshold,SAT,0.012870400008978322,361,,,0.5458333333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_mild,synthetic,5,cert_tree,UNSAT,2.2462274999998044,78608,17.0,0.6910714285714286,,,,,,,,False
synthetic_medium,synthetic,5,cart,SAT,0.0016524000093340874,0,0.0,,0.8,0.13043478260869565,0.848,0.15381460213289583,0.03409090909090909,0.6309523809523809,0.5968614718614719,False
synthetic_medium,synthetic,5,cart_group_threshold,SAT,0.012403800006723031,361,,,0.5416666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_medium,synthetic,5,cert_tree,UNSAT,2.2423036000109278,78608,17.0,0.7080357142857143,,,,,,,,False
synthetic_extreme,synthetic,5,cart,SAT,0.0016165999986696988,0,0.0,,0.8229166666666666,0.0851063829787234,0.9061224489795918,0.09392371094498754,0.026041666666666668,0.7164179104477612,0.6903762437810945,False
synthetic_extreme,synthetic,5,cart_group_threshold,SAT,0.012936700019054115,361,,,0.5395833333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_extreme,synthetic,5,cert_tree,UNSAT,2.2351782000041567,78608,17.0,0.8010714285714287,,,,,,,,False
breast_cancer_proxy,real_proxy,5,cart,SAT,0.0017411000153515488,0,0.0,,0.9415204678362573,0.989010989010989,0.2875,0.2906944444444444,0.5,0.11290322580645161,0.3870967741935484,False
breast_cancer_proxy,real_proxy,5,cart_group_threshold,SAT,0.011362699995515868,361,,,0.3742690058479532,0.0,0.0,1.0,0.0,0.0,0.0,True
breast_cancer_proxy,real_proxy,5,cert_tree,UNSAT,2.0279655999911483,93312,18.0,0.8522613065326633,,,,,,,,False
wine_proxy,real_proxy,5,cart,SAT,0.0007250999915413558,0,0.0,,0.9444444444444444,0.9565217391304348,0.4838709677419355,0.5058651026392962,0.0,0.1111111111111111,0.1111111111111111,False
wine_proxy,real_proxy,5,cart_group_threshold,NEAR-SAT,0.007879799988586456,361,,,0.9444444444444444,0.9565217391304348,0.4838709677419355,0.5058651026392962,0.0,0.1111111111111111,0.1111111111111111,False
wine_proxy,real_proxy,5,cert_tree,UNSAT,1.5900986999913584,78608,17.0,0.8838709677419355,,,,,,,,False
diabetes_proxy,real_proxy,5,cart,SAT,0.0005738999752793461,0,0.0,,0.7218045112781954,0.49333333333333335,0.7068965517241379,0.6978861788617887,0.2926829268292683,0.48,0.1873170731707317,False
diabetes_proxy,real_proxy,5,cart_group_threshold,SAT,0.00847480000811629,361,,,0.7293233082706767,0.49333333333333335,0.6206896551724138,0.7948148148148149,0.2926829268292683,0.36,0.06731707317073171,False
diabetes_proxy,real_proxy,5,cert_tree,SAT,1.968318699975498,93312,18.0,0.6669902912621359,0.6541353383458647,0.52,0.6551724137931034,0.7936842105263159,0.4146341463414634,0.44,0.025365853658536608,False
synthetic_mild,synthetic,6,cart,SAT,0.0016254999791271985,0,0.0,,0.7729166666666667,0.3048780487804878,0.8034188034188035,0.37947586922677734,0.14772727272727273,0.5952380952380952,0.4475108225108225,False
synthetic_mild,synthetic,6,cart_group_threshold,SAT,0.013038700009929016,361,,,0.5416666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_mild,synthetic,6,cert_tree,SAT,2.238638600014383,78608,17.0,0.6642857142857143,0.6333333333333333,0.573170731707317,0.6965811965811965,0.8228340565614245,0.5,0.5,0.0,True
synthetic_medium,synthetic,6,cart,SAT,0.0015625999949406832,0,0.0,,0.7645833333333333,0.09375,0.6517857142857143,0.14383561643835616,0.027472527472527472,0.34177215189873417,0.3142996244262067,False
synthetic_medium,synthetic,6,cart_group_threshold,SAT,0.01268099999288097,361,,,0.54375,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_medium,synthetic,6,cert_tree,UNSAT,2.2566198999993503,78608,17.0,0.7223214285714286,,,,,,,,False
synthetic_extreme,synthetic,6,cart,SAT,0.0015665999962948263,0,0.0,,0.8416666666666667,0.026200873362445413,0.8087649402390438,0.03239615376341773,0.010309278350515464,0.46153846153846156,0.4512291831879461,False
synthetic_extreme,synthetic,6,cart_group_threshold,SAT,0.012845799996284768,361,,,0.5395833333333333,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_extreme,synthetic,6,cert_tree,UNSAT,2.238229400012642,78608,17.0,0.81,,,,,,,,False
breast_cancer_proxy,real_proxy,6,cart,SAT,0.0017322000057902187,0,0.0,,0.9473684210526315,0.9325842696629213,0.2804878048780488,0.30076403173670296,0.14285714285714285,0.05263157894736842,0.09022556390977443,False
breast_cancer_proxy,real_proxy,6,cart_group_threshold,NEAR-SAT,0.009856000018771738,361,,,0.9473684210526315,0.9325842696629213,0.35365853658536583,0.3792242139288863,0.14285714285714285,0.10526315789473684,0.03759398496240601,False
breast_cancer_proxy,real_proxy,6,cert_tree,UNSAT,2.0482642000133637,93312,18.0,0.842211055276382,,,,,,,,False
wine_proxy,real_proxy,6,cart,SAT,0.00047309999354183674,0,0.0,,0.9259259259259259,0.8275862068965517,0.4,0.4833333333333334,0.0,0.0625,0.0625,False
wine_proxy,real_proxy,6,cart_group_threshold,NEAR-SAT,0.0077822000021114945,361,,,0.8148148148148148,0.6206896551724138,0.4,0.6444444444444445,0.0,0.0625,0.0625,False
wine_proxy,real_proxy,6,cert_tree,UNSAT,1.5529097999969963,78608,17.0,0.8919354838709678,,,,,,,,False
diabetes_proxy,real_proxy,6,cart,SAT,0.0005447999865282327,0,0.0,,0.7293233082706767,0.4722222222222222,0.6557377049180327,0.7201388888888889,0.3157894736842105,0.3448275862068966,0.029038112522686066,False
diabetes_proxy,real_proxy,6,cart_group_threshold,SAT,0.008846899989293888,361,,,0.49624060150375937,1.0,1.0,1.0,1.0,1.0,0.0,True
diabetes_proxy,real_proxy,6,cert_tree,SAT,1.9960636000032537,93312,18.0,0.6281553398058253,0.7518796992481203,0.4444444444444444,0.5081967213114754,0.8745519713261648,0.2894736842105263,0.13793103448275862,0.1515426497277677,False
synthetic_mild,synthetic,7,cart,SAT,0.001664000010350719,0,0.0,,0.7979166666666667,0.15546218487394958,0.47107438016528924,0.33001621701312106,0.012195121951219513,0.14,0.1278048780487805,False
synthetic_mild,synthetic,7,cart_group_threshold,SAT,0.012787600018782541,361,,,0.55,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_mild,synthetic,7,cert_tree,UNSAT,2.1976365000009537,78608,17.0,0.6803571428571429,,,,,,,,False
synthetic_medium,synthetic,7,cart,SAT,0.0017216000123880804,0,0.0,,0.75625,0.2024793388429752,0.7899159663865546,0.25633022683312817,0.10982658959537572,0.5517241379310345,0.44189754833565875,False
synthetic_medium,synthetic,7,cart_group_threshold,SAT,0.012807799997972324,361,,,0.5416666666666666,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_medium,synthetic,7,cert_tree,UNSAT,2.3531625000177883,78608,17.0,0.7116071428571429,,,,,,,,False
synthetic_extreme,synthetic,7,cart,SAT,0.0015596000012010336,0,0.0,,0.8354166666666667,0.07723577235772358,0.8675213675213675,0.0890303976931395,0.03414634146341464,0.6071428571428571,0.5729965156794424,False
synthetic_extreme,synthetic,7,cart_group_threshold,SAT,0.013528300012694672,361,,,0.54375,0.0,0.0,1.0,0.0,0.0,0.0,True
synthetic_extreme,synthetic,7,cert_tree,UNSAT,2.352413599990541,78608,17.0,0.8082142857142858,,,,,,,,False
breast_cancer_proxy,real_proxy,7,cart,SAT,0.0017942000122275203,0,0.0,,0.9122807017543859,0.9753086419753086,0.2777777777777778,0.2848101265822785,0.0,0.09523809523809523,0.09523809523809523,False
